"Adanto Vanguard	Ixalan	XLN	435152	Creature - Vampire Soldier	1	1	1 W 	2	W	1	U	As long as Adanto Vanguard is attacking it gets +2/+0. Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say destroy don't destroy it.)	card"
"Adanto, the First Fort	Ixalan	XLN	435174	Legendary Land	*	*	*	1	L	22	R	(Transforms from Legion's Landing.)T : Add W .2 W  T : Create a 1/1 white Vampire creature token with lifelink.	card"
"Admiral Beckett Brass	Ixalan	XLN	435373	Legendary Creature - Human Pirate	3	3	1 U B R 	4	U R B	217	M	Other Pirates you control get +1/+1.At the beginning of your end step gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.	card"
"Air Elemental	Ixalan	XLN	435197	Creature - Elemental	4	4	3 U U 	5	U	45	U	Flying (This creature can't be blocked except by creatures with flying or reach.)	card"
"Ancient Brontodon	Ixalan	XLN	435330	Creature - Dinosaur	9	9	6 G G 	8	G	175	C	*	card"
"Angrath's Marauders	Ixalan	XLN	435286	Creature - Human Pirate	4	4	5 R R 	7	R	132	R	If a source you control would deal damage to a permanent or player it deals double that damage to that permanent or player instead.	card"
"Anointed Deacon	Ixalan	XLN	435242	Creature - Vampire Cleric	3	3	4 B 	5	B	89	C	At the beginning of combat on your turn you may have target Vampire get +2/+0 until end of turn.	card"
"Arcane Adaptation	Ixalan	XLN	435198	Enchantment	*	*	2 U 	3	U	46	R	Any creature you control will enter the battlefield with an additional +1/+1 counter on it. As Arcane Adaptation enters the battlefield choose a creature type . Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.	card"
"Arguel's Blood Fast	Ixalan	XLN	435243	Legendary Enchantment	*	*	1 B 	2	B	90	R	1 B  Pay 2 life: Draw a card.At the beginning of your upkeep if you have 5 or less life you may transform Arguel's Blood Fast.	card"
"Ashes of the Abhorrent	Ixalan	XLN	435153	Enchantment	*	*	1 W 	2	W	2	R	Players can't cast spells from graveyards or activate abilities of cards in graveyards.Whenever a creature dies you gain 1 life.	card"
"Atzocan Archer	Ixalan	XLN	435331	Creature - Human Archer	1	4	2 G 	3	G	176	U	Reach When Atzocan Archer enters the battlefield you may have it fight another target creature. (Each deals damage equal to its power to the other.)	card"
"Axis of Mortality	Ixalan	XLN	435154	Enchantment	*	*	4 W W 	6	W	3	M	At the beginning of your upkeep you may have two target players exchange life totals.	card"
"Azcanta, the Sunken Ruin	Ixalan	XLN	435227	Legendary Land	*	*	*	2	L	74	R	(Transforms from Search for Azcanta.)T : Add U .2 U T : Look at the top four cards of your library. You may reveal a noncreature nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	card"
"Belligerent Brontodon	Ixalan	XLN	435374	Creature - Dinosaur	4	6	5 G W 	7	G W	218	U	Each creature you control assigns combat damage equal to its toughness rather than its power.	card"
"Bellowing Aegisaur	Ixalan	XLN	435155	Creature - Dinosaur	3	5	5 W 	6	W	4	U	Enrage - Whenever Bellowing Aegisaur is dealt damage put a +1/+1 counter on each other creature you control.	card"
"Bishop of Rebirth	Ixalan	XLN	435156	Creature - Vampire Cleric	3	4	3 W W 	5	W	5	R	Vigilance Whenever Bishop of Rebirth attacks you may return target creature card with converted mana cost 3 or less from your graveyard to the battlefield.	card"
"Bishop of the Bloodstained	Ixalan	XLN	435245	Creature - Vampire Cleric	3	3	3 B B 	5	B	91	U	When Bishop of the Bloodstained enters the battlefield target opponent loses 1 life for each Vampire you control.	card"
"Bishop's Soldier	Ixalan	XLN	435157	Creature - Vampire Soldier	2	2	1 W 	2	W	6	C	Lifelink	card"
"Blight Keeper	Ixalan	XLN	435246	Creature - Bat Imp	1	1	B 	1	B	92	C	Flying  T: Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life.	card"
"Blinding Fog	Ixalan	XLN	435332	Instant	*	*	2 G 	3	G	177	C	Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. (They can't be the targets of spells or abilities your opponents control.)	card"
"Bloodcrazed Paladin	Ixalan	XLN	435247	Creature - Vampire Knight	1	1	1 B 	2	B	93	R	FlashBloodcrazed Paladin enters the battlefield with a +1/+1 counter on it for each creature that died this turn.	card"
"Blossom Dryad	Ixalan	XLN	435333	Creature - Dryad	2	2	2 G 	3	G	178	C	T : Untap target land.	card"
"Bonded Horncrest	Ixalan	XLN	435287	Creature - Dinosaur	5	5	3 R 	4	R	133	U	Bonded Horncrest can't attack or block alone.	card"
"Boneyard Parley	Ixalan	XLN	435248	Sorcery	*	*	5 B B 	7	B	94	M	Exile up to five target creature cards from graveyards. An opponent separates those cards into two piles. Put all cards from the pile of your choice onto the battlefield under your control and the rest into their owners' graveyards.	card"
"Brazen Buccaneers	Ixalan	XLN	435288	Creature - Human Pirate	2	2	3 R 	4	R	134	C	Haste When Brazen Buccaneers enters the battlefield it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Bright Reprisal	Ixalan	XLN	435158	Instant	*	*	4 W 	5	W	7	U	Destroy target attacking creature.Draw a card.	card"
"Burning Sun's Avatar	Ixalan	XLN	435289	Creature - Dinosaur Avatar	6	6	3 R R R 	6	R	135	R	When Burning Sun's Avatar enters the battlefield it deals 3 damage to target opponent or planeswalker and 3 damage to up to one target creature.	card"
"Call to the Feast	Ixalan	XLN	435375	Sorcery	*	*	2 W B 	4	WB	219	U	Create three 1/1 white Vampire creature tokens with lifelink.	card"
"Cancel	Ixalan	XLN	435199	Instant	*	*	1 U U 	3	U	47	C	Counter target spell.	card"
"Captain Lannery Storm	Ixalan	XLN	435290	Legendary Creature - Human Pirate	2	2	2 R 	3	R	136	R	Haste Whenever Captain Lannery Storm attacks create a colorless Treasure artifact token with T Sacrifice this artifact: Add one mana of any color.Whenever you sacrifice a Treasure Captain Lannery Storm gets +1/+0 until end of turn.	card"
"Captivating Crew	Ixalan	XLN	435291	Creature - Human Pirate	4	3	3 R 	4	R	137	R	3 R : Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn. Activate this ability only any time you could cast a sorcery.	card"
"Carnage Tyrant	Ixalan	XLN	435334	Creature - Dinosaur	7	6	4 G G 	6	G	179	M	This spell can't be countered. Trample Hexproof	card"
"Castaway's Despair	Ixalan	XLN	435442	Enchantment - Aura	*	*	3 U 	4	U	281	C	Enchant creatureWhen Castaway's Despair enters the battlefield tap enchanted creature.Enchanted creature doesn't untap during its controller's untap step.	card"
"Charging Monstrosaur	Ixalan	XLN	435292	Creature - Dinosaur	5	5	4 R 	5	R	138	U	Trample Haste	card"
"Chart a Course	Ixalan	XLN	435200	Sorcery	*	*	1 U 	2	U	48	U	Draw two cards. Then discard a card unless you attacked with a creature this turn.	card"
